사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시,
Jun-22,1호선,150,서울역,"1,150,754","1,123,193","194,717","187,155",2022-07-03 9:48,"2,655,819"
Jun-22,1호선,151,시청,"537,067","543,569","80,671","78,279",2022-07-03 9:48,"1,239,586"
Jun-22,1호선,152,종각,"834,173","815,704","131,987","121,717",2022-07-03 9:48,"1,903,581"
Jun-22,1호선,153,종로3가,"450,317","404,106","299,617","278,151",2022-07-03 9:48,"1,432,191"
Jun-22,1호선,154,종로5가,"394,420","404,105","254,236","244,555",2022-07-03 9:48,"1,297,316"
Jun-22,1호선,155,동대문,"212,719","198,987","117,499","118,515",2022-07-03 9:48,"647,720"
Jun-22,1호선,156,신설동,"264,825","252,339","112,362","106,855",2022-07-03 9:48,"736,381"
Jun-22,1호선,157,제기동,"218,782","209,109","263,173","281,985",2022-07-03 9:48,"973,049"
Jun-22,1호선,158,청량리(서울시립대입구),"328,288","325,365","246,164","249,818",2022-07-03 9:48,"1,149,635"
Jun-22,1호선,159,동묘앞,"122,460","131,299","146,455","147,539",2022-07-03 9:48,"547,753"
Jun-22,2호선,201,시청,"545,554","526,572","51,342","46,078",2022-07-03 9:48,"1,169,546"
Jun-22,2호선,202,을지로입구,"971,745","1,007,534","92,660","87,142",2022-07-03 9:48,"2,159,081"
Jun-22,2호선,203,을지로3가,"536,508","541,688","72,308","71,915",2022-07-03 9:48,"1,222,419"
Jun-22,2호선,204,을지로4가,"265,268","268,802","76,535","74,937",2022-07-03 9:48,"685,542"
Jun-22,2호선,205,동대문역사문화공원(DDP),"306,073","352,795","53,494","59,289",2022-07-03 9:48,"771,651"
Jun-22,2호선,206,신당,"304,039","315,924","91,391","92,351",2022-07-03 9:48,"803,705"
Jun-22,2호선,207,상왕십리,"330,852","315,918","63,503","64,289",2022-07-03 9:48,"774,562"
Jun-22,2호선,208,왕십리(성동구청),"414,937","347,476","50,943","43,164",2022-07-03 9:48,"856,520"
Jun-22,2호선,209,한양대,"269,240","295,829","12,481","13,227",2022-07-03 9:48,"590,777"
Jun-22,2호선,210,뚝섬,"551,569","592,153","57,844","58,509",2022-07-03 9:48,"1,260,075"
Jun-22,2호선,211,성수,"872,922","970,271","98,360","100,417",2022-07-03 9:48,"2,041,970"
Jun-22,2호선,212,건대입구,"942,052","1,023,160","87,332","91,534",2022-07-03 9:48,"2,144,078"
Jun-22,2호선,213,구의(광진구청),"546,203","530,279","98,118","99,292",2022-07-03 9:48,"1,273,892"
Jun-22,2호선,214,강변(동서울터미널),"816,158","778,010","118,974","115,032",2022-07-03 9:48,"1,828,174"
Jun-22,2호선,215,잠실나루,"309,228","300,158","81,339","81,143",2022-07-03 9:48,"771,868"
Jun-22,2호선,216,잠실(송파구청),"1,862,829","1,830,324","193,944","183,893",2022-07-03 9:48,"4,070,990"
Jun-22,2호선,217,잠실새내,"507,827","512,488","101,903","101,681",2022-07-03 9:48,"1,223,899"
Jun-22,2호선,218,종합운동장,"342,239","380,148","51,889","53,791",2022-07-03 9:48,"828,067"
Jun-22,2호선,219,삼성(무역센터),"1,336,734","1,358,393","112,903","105,588",2022-07-03 9:48,"2,913,618"
Jun-22,2호선,220,선릉,"1,245,231","1,103,735","201,887","177,819",2022-07-03 9:48,"2,728,672"
Jun-22,2호선,221,역삼,"1,160,459","1,322,033","147,014","150,062",2022-07-03 9:48,"2,779,568"
Jun-22,2호선,222,강남,"2,055,521","2,039,847","154,473","136,085",2022-07-03 9:48,"4,385,926"
Jun-22,2호선,223,교대(법원.검찰청),"740,847","840,069","149,570","170,124",2022-07-03 9:48,"1,900,610"
Jun-22,2호선,224,서초,"505,375","477,695","80,348","80,634",2022-07-03 9:48,"1,144,052"
Jun-22,2호선,225,방배,"398,332","416,958","72,021","71,264",2022-07-03 9:48,"958,575"
Jun-22,2호선,226,사당,"914,750","1,035,094","201,919","195,837",2022-07-03 9:48,"2,347,600"
Jun-22,2호선,227,낙성대(강감찬),"671,953","639,987","104,158","105,505",2022-07-03 9:48,"1,521,603"
Jun-22,2호선,228,서울대입구(관악구청),"1,135,276","1,113,916","173,256","165,685",2022-07-03 9:48,"2,588,133"
Jun-22,2호선,229,봉천,"524,535","472,265","142,143","141,467",2022-07-03 9:48,"1,280,410"
Jun-22,2호선,230,신림,"1,465,285","1,400,575","205,673","205,118",2022-07-03 9:48,"3,276,651"
Jun-22,2호선,231,신대방,"607,134","580,534","119,656","121,011",2022-07-03 9:48,"1,428,335"
Jun-22,2호선,232,구로디지털단지,"1,410,353","1,402,401","163,090","164,424",2022-07-03 9:48,"3,140,268"
Jun-22,2호선,233,대림(구로구청),"564,097","574,663","118,611","122,173",2022-07-03 9:48,"1,379,544"
Jun-22,2호선,234,신도림,"1,172,265","1,189,184","195,346","185,455",2022-07-03 9:48,"2,742,250"
Jun-22,2호선,235,문래,"494,418","516,423","89,485","88,440",2022-07-03 9:48,"1,188,766"
Jun-22,2호선,236,영등포구청,"482,961","505,867","94,537","94,163",2022-07-03 9:48,"1,177,528"
Jun-22,2호선,237,당산,"448,819","522,271","57,315","62,719",2022-07-03 9:48,"1,091,124"
Jun-22,2호선,238,합정,"832,274","910,324","66,386","67,132",2022-07-03 9:48,"1,876,116"
Jun-22,2호선,239,홍대입구,"1,638,384","1,774,322","92,453","89,416",2022-07-03 9:48,"3,594,575"
Jun-22,2호선,240,신촌,"863,076","881,171","116,980","114,549",2022-07-03 9:48,"1,975,776"
Jun-22,2호선,241,이대,"336,055","357,608","46,177","47,981",2022-07-03 9:48,"787,821"
Jun-22,2호선,242,아현,"231,607","215,140","61,419","61,058",2022-07-03 9:48,"569,224"
Jun-22,2호선,243,충정로(경기대입구),"217,199","233,674","44,741","44,894",2022-07-03 9:48,"540,508"
Jun-22,2호선,244,용답,"64,332","63,420","16,494","16,276",2022-07-03 9:48,"160,522"
Jun-22,2호선,245,신답,"36,676","40,739","9,242","9,855",2022-07-03 9:48,"96,512"
Jun-22,2호선,246,신설동,"71,771","68,036","31,627","33,092",2022-07-03 9:48,"204,526"
Jun-22,2호선,247,도림천,"28,226","28,769","7,935","8,593",2022-07-03 9:48,"73,523"
Jun-22,2호선,248,양천구청,"144,813","148,158","47,395","47,693",2022-07-03 9:48,"388,059"
Jun-22,2호선,249,신정네거리,"221,497","223,866","68,371","69,329",2022-07-03 9:48,"583,063"
Jun-22,2호선,250,용두(동대문구청),"43,001","41,838","21,471","22,751",2022-07-03 9:48,"129,061"
Jun-22,3호선,309,지축,"117,337","107,140","27,101","25,854",2022-07-03 9:48,"277,432"
Jun-22,3호선,310,구파발,"474,141","464,937","114,807","110,444",2022-07-03 9:48,"1,164,329"
Jun-22,3호선,311,연신내,"775,829","725,306","247,292","238,486",2022-07-03 9:48,"1,986,913"
Jun-22,3호선,312,불광,"326,645","348,085","133,400","147,029",2022-07-03 9:48,"955,159"
Jun-22,3호선,313,녹번,"355,050","307,789","74,253","72,457",2022-07-03 9:48,"809,549"
Jun-22,3호선,314,홍제,"361,178","333,046","134,172","131,609",2022-07-03 9:48,"960,005"
Jun-22,3호선,315,무악재,"81,059","79,548","28,374","30,478",2022-07-03 9:48,"219,459"
Jun-22,3호선,316,독립문,"139,771","148,555","65,896","65,950",2022-07-03 9:48,"420,172"
